workload,checkpoint,core_commit,plugin_commit,primary_metric,primary_direction,throughput_tps,ttft_ms,tbt_ms,error_rate,m1_to_m3_primary_raw_change_pct,m1_to_m3_primary_benefit_pct,exact_spec_hash
agent-research-online,C1,0657f3f2a6867c0ad33de6227b137ddc49a0c638,03a12f9bddd944952bd029c6b62e23d68fa3a28e,ttft_ms,lower,205.7332217536722,3147.5261638115626,39.190706319470124,0.0,,,70446ab0d1019d0fa4a117ce9d43623421727d9638204c09b733deca3a7beaec
agent-research-online,C2,73187bc8ba89b8f83652cbc24042433fb7032add,03a12f9bddd944952bd029c6b62e23d68fa3a28e,ttft_ms,lower,205.7688001174439,3109.841292462079,39.578513548122814,0.0,,,70446ab0d1019d0fa4a117ce9d43623421727d9638204c09b733deca3a7beaec
agent-research-online,C3,1aa7cd10b7b16e82fdb29fcc47d3a3cd93bd01dc,03ae1d03db8049cd2a5c3f824039814459542e25,ttft_ms,lower,205.5184226379993,3031.6757673281245,39.29260184477065,0.0,-3.680680968292464,3.680680968292464,70446ab0d1019d0fa4a117ce9d43623421727d9638204c09b733deca3a7beaec
instructcoder-online,C1,0657f3f2a6867c0ad33de6227b137ddc49a0c638,03a12f9bddd944952bd029c6b62e23d68fa3a28e,ttft_ms,lower,126.09747243515905,114.89282208867735,30.743367457251033,0.0,,,8b0eda0c27055ec8449469dde022d9b37bd7efb201622c811e1add76dd9ffc10
instructcoder-online,C2,73187bc8ba89b8f83652cbc24042433fb7032add,03a12f9bddd944952bd029c6b62e23d68fa3a28e,ttft_ms,lower,125.8961877903328,114.99439624253682,30.821760766804662,0.0,,,8b0eda0c27055ec8449469dde022d9b37bd7efb201622c811e1add76dd9ffc10
instructcoder-online,C3,1aa7cd10b7b16e82fdb29fcc47d3a3cd93bd01dc,03ae1d03db8049cd2a5c3f824039814459542e25,ttft_ms,lower,126.19183951040728,114.14431241701095,30.797216299080297,0.0,-0.6514851476871877,0.6514851476871877,8b0eda0c27055ec8449469dde022d9b37bd7efb201622c811e1add76dd9ffc10
prefix-repetition-online,C1,0657f3f2a6867c0ad33de6227b137ddc49a0c638,03a12f9bddd944952bd029c6b62e23d68fa3a28e,ttft_ms,lower,244.38238598709654,279.128922233358,40.950158805677695,0.0,,,e15c064444f8774db0760f330120b0b9cc6c92e2bb4b16734df11a2b8a290bea
prefix-repetition-online,C2,73187bc8ba89b8f83652cbc24042433fb7032add,03a12f9bddd944952bd029c6b62e23d68fa3a28e,ttft_ms,lower,244.4353328928585,259.3311937828548,40.43496152996908,0.0,,,e15c064444f8774db0760f330120b0b9cc6c92e2bb4b16734df11a2b8a290bea
prefix-repetition-online,C3,1aa7cd10b7b16e82fdb29fcc47d3a3cd93bd01dc,03ae1d03db8049cd2a5c3f824039814459542e25,ttft_ms,lower,244.46153436776785,261.9912320235744,40.33342249917926,0.0,-6.1397042171990055,6.1397042171990055,e15c064444f8774db0760f330120b0b9cc6c92e2bb4b16734df11a2b8a290bea
random-latency,C1,0657f3f2a6867c0ad33de6227b137ddc49a0c638,03a12f9bddd944952bd029c6b62e23d68fa3a28e,ttft_ms,lower,,4909.350469103083,,0.0,,,3e81e3e00639f882933d45f5420a8e0813225bc6d7370a6f318cb207417c8f6a
random-latency,C2,73187bc8ba89b8f83652cbc24042433fb7032add,03a12f9bddd944952bd029c6b62e23d68fa3a28e,ttft_ms,lower,,4907.897825663288,,0.0,,,3e81e3e00639f882933d45f5420a8e0813225bc6d7370a6f318cb207417c8f6a
random-latency,C3,1aa7cd10b7b16e82fdb29fcc47d3a3cd93bd01dc,03ae1d03db8049cd2a5c3f824039814459542e25,ttft_ms,lower,,4946.432918542996,,0.0,0.7553432918120396,-0.7553432918120396,3e81e3e00639f882933d45f5420a8e0813225bc6d7370a6f318cb207417c8f6a
random-online,C1,0657f3f2a6867c0ad33de6227b137ddc49a0c638,03a12f9bddd944952bd029c6b62e23d68fa3a28e,ttft_ms,lower,245.54045549215775,234.51388899469748,37.405154350825455,0.0,,,f8cc8fc26b4b9bb06d50f079174894a95d2bc0f49799374a652e6e04b75c8feb
random-online,C2,73187bc8ba89b8f83652cbc24042433fb7032add,03a12f9bddd944952bd029c6b62e23d68fa3a28e,ttft_ms,lower,245.59559904218415,230.5571901006624,37.331037934549954,0.0,,,f8cc8fc26b4b9bb06d50f079174894a95d2bc0f49799374a652e6e04b75c8feb
random-online,C3,1aa7cd10b7b16e82fdb29fcc47d3a3cd93bd01dc,03ae1d03db8049cd2a5c3f824039814459542e25,ttft_ms,lower,245.54131599298816,231.66372674750164,37.307491130506,0.0,-1.2153490180960174,1.2153490180960174,f8cc8fc26b4b9bb06d50f079174894a95d2bc0f49799374a652e6e04b75c8feb
sharegpt-online,C1,0657f3f2a6867c0ad33de6227b137ddc49a0c638,03a12f9bddd944952bd029c6b62e23d68fa3a28e,ttft_ms,lower,204.33604007443557,128.6954714776948,31.832467087557983,0.0,,,66100e24033a9724a65e6e245d1e33a0e933fbfdcd850558428ac095ae5b4ded
sharegpt-online,C2,73187bc8ba89b8f83652cbc24042433fb7032add,03a12f9bddd944952bd029c6b62e23d68fa3a28e,ttft_ms,lower,205.43528923626846,131.9419607310556,31.878160844868198,0.0,,,66100e24033a9724a65e6e245d1e33a0e933fbfdcd850558428ac095ae5b4ded
sharegpt-online,C3,1aa7cd10b7b16e82fdb29fcc47d3a3cd93bd01dc,03ae1d03db8049cd2a5c3f824039814459542e25,ttft_ms,lower,204.74221569814853,128.02863141754642,31.946164392210026,0.0,-0.518153476957395,0.518153476957395,66100e24033a9724a65e6e245d1e33a0e933fbfdcd850558428ac095ae5b4ded
